21,   76 ,21,   1010 ,   0 ,   0 ,1
221,   52 ,221,   1013 ,   31 ,   0 ,1
70,   86 ,70,   1001 ,   10 ,   0 ,   0 
250,   41 ,250,   1002 ,   28 ,   0 ,1
250,   77 ,250,   1002 ,   20 ,   0 ,   0 
250,   87 ,250,   1002 ,   19 ,   0 ,   0 
190,   100 ,190,   1002 ,   21 ,   0 ,   0 
190,   100 ,190,   1003 ,   20 ,   1 ,1
131,   71 ,131,   1003 ,   16 ,   0 ,1
197,   86 ,197,   994 ,   27 ,   0 ,1
198,   87 ,198,   993 ,   28 ,   0 ,1
199,   100 ,199,   993 ,   24 ,   0 ,   0 
199,   100 ,199,   993 ,   20 ,   0 ,1
269,   100 ,269,   1022 ,   7 ,   0 ,1
347,   73 ,347,   1012 ,   0 ,   0 ,   0 