04_27_2017_03_08, 67, 2017-04-27T06:08:36.000+0300, 1007, 11, 0, 0
04_27_2017_03_19, 66, 2017-04-27T06:19:05.000+0300, 1007, 11, 0, 0
04_27_2017_03_29, 66, 2017-04-27T06:29:34.000+0300, 1007, 11, 0, 0
04_27_2017_03_40, 64, 2017-04-27T06:40:04.000+0300, 1007, 11, 0, 0
04_27_2017_03_50, 61, 2017-04-27T06:50:33.000+0300, 1007, 11, 0, 0
04_27_2017_04_01, 62, 2017-04-27T07:01:02.000+0300, 1007, 10, 0, 0
04_27_2017_04_11, 60, 2017-04-27T07:11:31.000+0300, 1007, 10, 0, 0
04_27_2017_04_22, 60, 2017-04-27T07:22:00.000+0300, 1007, 10, 0, 0
04_27_2017_04_32, 59, 2017-04-27T07:32:29.000+0300, 1007, 10, 0, 0
04_27_2017_04_42, 59, 2017-04-27T07:42:58.000+0300, 1007, 10, 0, 0
04_27_2017_04_53, 60, 2017-04-27T07:53:27.000+0300, 1007, 10, 0, 0
04_27_2017_05_03, 61, 2017-04-27T08:03:56.000+0300, 1006, 10, 0, 0
04_27_2017_05_14, 61, 2017-04-27T08:14:25.000+0300, 1007, 10, 0, 0
04_27_2017_05_24, 63, 2017-04-27T08:24:54.000+0300, 1007, 9, 0, 0
04_27_2017_05_35, 63, 2017-04-27T08:35:23.000+0300, 1007, 9, 0, 0
04_27_2017_05_45, 63, 2017-04-27T08:45:52.000+0300, 1007, 9, 0, 0
04_27_2017_05_56, 64, 2017-04-27T08:56:21.000+0300, 1007, 9, 0, 0
04_27_2017_06_06, 65, 2017-04-27T09:06:50.000+0300, 1007, 9, 5, 0
04_27_2017_06_17, 65, 2017-04-27T09:17:18.000+0300, 1007, 9, 15, 0
04_27_2017_06_27, 62, 2017-04-27T09:27:47.000+0300, 1007, 9, 41, 0
04_27_2017_06_38, 61, 2017-04-27T09:38:16.000+0300, 1007, 9, 80, 0
04_27_2017_06_48, 62, 2017-04-27T09:48:45.000+0300, 1007, 9, 101, 0
04_27_2017_06_59, 61, 2017-04-27T09:59:13.000+0300, 1007, 9, 119, 0
04_27_2017_07_09, 60, 2017-04-27T10:09:42.000+0300, 1007, 10, 142, 0
04_27_2017_07_20, 60, 2017-04-27T10:20:11.000+0300, 1007, 10, 165, 0
04_27_2017_07_30, 60, 2017-04-27T10:30:40.000+0300, 1007, 10, 198, 0
04_27_2017_07_41, 60, 2017-04-27T10:41:09.000+0300, 1007, 10, 234, 0
04_27_2017_07_51, 59, 2017-04-27T10:51:38.000+0300, 1007, 10, 276, 0
04_27_2017_08_02, 62, 2017-04-27T11:02:07.000+0300, 1008, 10, 335, 0
04_27_2017_08_12, 62, 2017-04-27T11:12:36.000+0300, 1007, 10, 393, 0
04_27_2017_08_23, 59, 2017-04-27T11:23:05.000+0300, 1007, 11, 463, 0
04_27_2017_08_33, 57, 2017-04-27T11:33:34.000+0300, 1007, 11, 466, 0
04_27_2017_08_44, 57, 2017-04-27T11:44:03.000+0300, 1008, 11, 454, 0
04_27_2017_08_54, 44, 2017-04-27T11:54:33.000+0300, 1007, 16, 1496, 0
04_27_2017_09_04, 32, 2017-04-27T12:04:34.000+0300, 1007, 26, 1169, 0
04_27_2017_09_15, 44, 2017-04-27T12:15:04.000+0300, 1007, 16, 1222, 0
04_27_2017_09_25, 45, 2017-04-27T12:25:05.000+0300, 1007, 16, 1375, 0
04_27_2017_09_35, 46, 2017-04-27T12:35:36.000+0300, 1008, 16, 1939, 0
04_27_2017_09_45, 44, 2017-04-27T12:45:37.000+0300, 1008, 17, 2062, 0
04_27_2017_09_56, 46, 2017-04-27T12:56:08.000+0300, 1007, 17, 2175, 0
04_27_2017_10_06, 42, 2017-04-27T13:06:09.000+0300, 1007, 19, 1916, 0
04_27_2017_10_16, 40, 2017-04-27T13:16:41.000+0300, 1007, 20, 2085, 0
04_27_2017_10_27, 41, 2017-04-27T13:27:13.000+0300, 1008, 19, 1790, 0
04_27_2017_10_37, 41, 2017-04-27T13:37:44.000+0300, 1008, 19, 1647, 0
04_27_2017_10_48, 41, 2017-04-27T13:48:16.000+0300, 1008, 19, 1312, 0
04_27_2017_10_58, 42, 2017-04-27T13:58:17.000+0300, 1008, 20, 1806, 0
04_27_2017_11_08, 42, 2017-04-27T14:08:49.000+0300, 1008, 20, 2068, 0
04_27_2017_11_19, 40, 2017-04-27T14:19:21.000+0300, 1008, 21, 2555, 0
04_27_2017_11_29, 38, 2017-04-27T14:29:53.000+0300, 1008, 21, 1963, 0
04_27_2017_11_40, 43, 2017-04-27T14:40:26.000+0300, 1008, 19, 855, 0
04_27_2017_11_50, 42, 2017-04-27T14:50:27.000+0300, 1008, 20, 753, 0
04_27_2017_12_00, 42, 2017-04-27T15:00:59.000+0300, 1008, 20, 603, 0
04_27_2017_12_11, 43, 2017-04-27T15:11:30.000+0300, 1007, 20, 506, 0
04_27_2017_12_22, 41, 2017-04-27T15:22:02.000+0300, 1007, 20, 469, 0
04_27_2017_12_32, 42, 2017-04-27T15:32:33.000+0300, 1007, 20, 475, 0
04_27_2017_12_43, 42, 2017-04-27T15:43:05.000+0300, 1007, 20, 410, 0
04_27_2017_12_53, 42, 2017-04-27T15:53:36.000+0300, 1007, 21, 354, 0
04_27_2017_13_04, 41, 2017-04-27T16:04:08.000+0300, 1007, 21, 360, 0
04_27_2017_13_14, 41, 2017-04-27T16:14:40.000+0300, 1007, 21, 330, 0
04_27_2017_13_25, 40, 2017-04-27T16:25:11.000+0300, 1007, 21, 366, 0
04_27_2017_13_35, 40, 2017-04-27T16:35:12.000+0300, 1007, 22, 383, 0
04_27_2017_13_45, 41, 2017-04-27T16:45:44.000+0300, 1007, 22, 411, 0
04_27_2017_13_56, 39, 2017-04-27T16:56:16.000+0300, 1007, 22, 380, 0
04_27_2017_14_06, 36, 2017-04-27T17:06:48.000+0300, 1007, 22, 330, 0
04_27_2017_14_17, 36, 2017-04-27T17:17:20.000+0300, 1007, 22, 296, 0
04_27_2017_14_27, 37, 2017-04-27T17:27:51.000+0300, 1007, 22, 303, 0
04_27_2017_14_38, 37, 2017-04-27T17:38:23.000+0300, 1007, 22, 305, 0
04_27_2017_14_48, 37, 2017-04-27T17:48:55.000+0300, 1006, 22, 300, 0
04_27_2017_14_59, 37, 2017-04-27T17:59:27.000+0300, 1006, 22, 299, 0
04_27_2017_15_09, 38, 2017-04-27T18:09:59.000+0300, 1006, 23, 280, 0
04_27_2017_15_20, 39, 2017-04-27T18:20:31.000+0300, 1006, 23, 266, 0
04_27_2017_15_31, 39, 2017-04-27T18:31:03.000+0300, 1006, 23, 242, 0
04_27_2017_15_41, 38, 2017-04-27T18:41:35.000+0300, 1006, 23, 216, 0
04_27_2017_15_52, 38, 2017-04-27T18:52:07.000+0300, 1006, 23, 204, 0
04_27_2017_16_02, 37, 2017-04-27T19:02:39.000+0300, 1006, 23, 201, 0
04_27_2017_16_13, 37, 2017-04-27T19:13:11.000+0300, 1006, 23, 191, 0
04_27_2017_16_23, 37, 2017-04-27T19:23:43.000+0300, 1006, 23, 181, 0
04_27_2017_16_34, 36, 2017-04-27T19:34:15.000+0300, 1006, 23, 182, 0
04_27_2017_16_44, 35, 2017-04-27T19:44:47.000+0300, 1006, 23, 190, 0
04_27_2017_16_54, 35, 2017-04-27T19:54:48.000+0300, 1005, 24, 190, 0
04_27_2017_17_05, 36, 2017-04-27T20:05:21.000+0300, 1005, 23, 164, 0
04_27_2017_17_15, 38, 2017-04-27T20:15:53.000+0300, 1005, 23, 184, 0
04_27_2017_17_26, 37, 2017-04-27T20:26:25.000+0300, 1005, 23, 187, 0
04_27_2017_17_36, 36, 2017-04-27T20:36:57.000+0300, 1005, 23, 175, 0
04_27_2017_17_47, 36, 2017-04-27T20:47:29.000+0300, 1005, 23, 169, 0
04_27_2017_17_58, 35, 2017-04-27T20:58:01.000+0300, 1005, 23, 162, 0
04_27_2017_18_08, 36, 2017-04-27T21:08:34.000+0300, 1005, 23, 158, 0
04_27_2017_18_19, 36, 2017-04-27T21:19:06.000+0300, 1005, 23, 153, 0
04_27_2017_18_29, 35, 2017-04-27T21:29:38.000+0300, 1005, 23, 146, 0
04_27_2017_18_40, 35, 2017-04-27T21:40:10.000+0300, 1005, 24, 140, 0
04_27_2017_18_50, 36, 2017-04-27T21:50:42.000+0300, 1005, 23, 130, 0
04_27_2017_19_01, 37, 2017-04-27T22:01:14.000+0300, 1005, 23, 117, 0
04_27_2017_19_11, 36, 2017-04-27T22:11:46.000+0300, 1005, 23, 104, 0
04_27_2017_19_22, 37, 2017-04-27T22:22:18.000+0300, 1005, 23, 85, 0
04_27_2017_19_32, 37, 2017-04-27T22:32:51.000+0300, 1005, 23, 66, 0
04_27_2017_19_43, 43, 2017-04-27T22:43:23.000+0300, 1005, 22, 45, 0
04_27_2017_19_53, 45, 2017-04-27T22:53:54.000+0300, 1005, 21, 24, 0
04_27_2017_20_04, 45, 2017-04-27T23:04:26.000+0300, 1005, 21, 10, 0
04_27_2017_20_14, 52, 2017-04-27T23:14:58.000+0300, 1005, 20, 3, 0
04_27_2017_20_25, 55, 2017-04-27T23:25:30.000+0300, 1005, 19, 0, 0
04_27_2017_20_36, 57, 2017-04-27T23:36:01.000+0300, 1005, 19, 0, 0
04_27_2017_20_46, 59, 2017-04-27T23:46:32.000+0300, 1005, 19, 0, 0
04_27_2017_20_57, 61, 2017-04-27T23:57:03.000+0300, 1005, 18, 0, 0
04_27_2017_21_07, 63, 2017-04-28T00:07:35.000+0300, 1005, 18, 0, 0
04_27_2017_21_18, 63, 2017-04-28T00:18:06.000+0300, 1005, 18, 0, 0
04_27_2017_21_28, 56, 2017-04-28T00:28:37.000+0300, 1005, 19, 0, 0
04_27_2017_21_39, 57, 2017-04-28T00:39:08.000+0300, 1006, 19, 0, 0
04_27_2017_21_49, 53, 2017-04-28T00:49:38.000+0300, 1006, 20, 0, 0
04_27_2017_22_00, 60, 2017-04-28T01:00:09.000+0300, 1006, 19, 0, 0
04_27_2017_22_10, 65, 2017-04-28T01:10:40.000+0300, 1006, 18, 0, 0
04_27_2017_22_21, 63, 2017-04-28T01:21:11.000+0300, 1006, 19, 0, 0
04_27_2017_22_31, 58, 2017-04-28T01:31:42.000+0300, 1006, 19, 0, 0
04_27_2017_22_42, 58, 2017-04-28T01:42:13.000+0300, 1006, 19, 0, 0
04_27_2017_22_52, 59, 2017-04-28T01:52:44.000+0300, 1006, 19, 0, 0
04_27_2017_23_03, 62, 2017-04-28T02:03:14.000+0300, 1006, 18, 0, 0
04_27_2017_23_13, 62, 2017-04-28T02:13:45.000+0300, 1006, 18, 0, 0
04_27_2017_23_24, 61, 2017-04-28T02:24:16.000+0300, 1006, 18, 0, 0
04_27_2017_23_34, 62, 2017-04-28T02:34:47.000+0300, 1006, 18, 0, 0
04_27_2017_23_45, 65, 2017-04-28T02:45:17.000+0300, 1006, 17, 0, 0
04_27_2017_23_55, 65, 2017-04-28T02:55:48.000+0300, 1006, 17, 0, 0
04_28_2017_00_06, 64, 2017-04-28T03:06:18.000+0300, 1006, 18, 0, 0
04_28_2017_00_16, 69, 2017-04-28T03:16:49.000+0300, 1006, 16, 0, 0
04_28_2017_00_27, 72, 2017-04-28T03:27:19.000+0300, 1006, 16, 0, 0
04_28_2017_00_37, 74, 2017-04-28T03:37:50.000+0300, 1006, 15, 0, 0
04_28_2017_00_48, 75, 2017-04-28T03:48:20.000+0300, 1006, 15, 0, 0
04_28_2017_00_58, 77, 2017-04-28T03:58:51.000+0300, 1006, 15, 0, 0
04_28_2017_01_09, 72, 2017-04-28T04:09:21.000+0300, 1006, 15, 0, 0
04_28_2017_01_19, 73, 2017-04-28T04:19:51.000+0300, 1006, 15, 0, 0
04_28_2017_01_30, 70, 2017-04-28T04:30:21.000+0300, 1005, 15, 0, 0
04_28_2017_01_40, 71, 2017-04-28T04:40:51.000+0300, 1006, 15, 0, 0
04_28_2017_01_51, 68, 2017-04-28T04:51:22.000+0300, 1005, 15, 0, 0
04_28_2017_02_01, 70, 2017-04-28T05:01:52.000+0300, 1005, 15, 0, 0
04_28_2017_02_12, 71, 2017-04-28T05:12:22.000+0300, 1006, 15, 0, 0
04_28_2017_02_22, 72, 2017-04-28T05:22:52.000+0300, 1005, 14, 0, 0
04_28_2017_02_33, 74, 2017-04-28T05:33:22.000+0300, 1006, 14, 0, 0
04_28_2017_02_43, 75, 2017-04-28T05:43:52.000+0300, 1006, 13, 0, 0
04_28_2017_02_54, 76, 2017-04-28T05:54:22.000+0300, 1005, 13, 0, 0
04_28_2017_03_04, 76, 2017-04-28T06:04:51.000+0300, 1005, 13, 0, 0
04_28_2017_03_15, 73, 2017-04-28T06:15:21.000+0300, 1005, 13, 0, 0
04_28_2017_03_25, 74, 2017-04-28T06:25:51.000+0300, 1005, 13, 0, 0
04_28_2017_03_36, 74, 2017-04-28T06:36:20.000+0300, 1005, 12, 0, 0
04_28_2017_03_46, 74, 2017-04-28T06:46:50.000+0300, 1005, 12, 0, 0
04_28_2017_03_57, 74, 2017-04-28T06:57:19.000+0300, 1005, 12, 0, 0
04_28_2017_04_07, 73, 2017-04-28T07:07:49.000+0300, 1005, 12, 0, 0
04_28_2017_04_18, 72, 2017-04-28T07:18:18.000+0300, 1005, 12, 0, 0
04_28_2017_04_28, 71, 2017-04-28T07:28:48.000+0300, 1005, 12, 0, 0
04_28_2017_04_39, 70, 2017-04-28T07:39:17.000+0300, 1005, 12, 0, 0
04_28_2017_04_49, 69, 2017-04-28T07:49:46.000+0300, 1005, 12, 0, 0
04_28_2017_05_00, 70, 2017-04-28T08:00:15.000+0300, 1005, 11, , 
04_28_2017_05_10, 68, 2017-04-28T08:10:45.000+0300, 1005, 12, 0, 0
04_28_2017_05_21, 70, 2017-04-28T08:21:14.000+0300, 1005, 11, 0, 0
04_28_2017_05_31, 68, 2017-04-28T08:31:43.000+0300, 1005, 11, 0, 0
04_28_2017_05_42, 69, 2017-04-28T08:42:12.000+0300, 1005, 11, 0, 0
04_28_2017_05_52, 68, 2017-04-28T08:52:42.000+0300, 1005, 11, 0, 0
04_28_2017_06_03, 69, 2017-04-28T09:03:11.000+0300, 1005, 11, 5, 0
04_28_2017_06_13, 70, 2017-04-28T09:13:40.000+0300, 1005, 11, 19, 0
04_28_2017_06_24, 71, 2017-04-28T09:24:09.000+0300, 1005, 11, 42, 0
04_28_2017_06_34, 69, 2017-04-28T09:34:38.000+0300, 1005, 11, 79, 0
04_28_2017_06_45, 69, 2017-04-28T09:45:07.000+0300, 1005, 11, 123, 0
04_28_2017_06_55, 67, 2017-04-28T09:55:36.000+0300, 1005, 11, 158, 0
04_28_2017_07_06, 69, 2017-04-28T10:06:05.000+0300, 1005, 11, 182, 0
04_28_2017_07_16, 67, 2017-04-28T10:16:35.000+0300, 1005, 11, 214, 0
04_28_2017_07_27, 67, 2017-04-28T10:27:04.000+0300, 1005, 11, 236, 0
04_28_2017_07_37, 65, 2017-04-28T10:37:33.000+0300, 1005, 12, 264, 0
04_28_2017_07_48, 63, 2017-04-28T10:48:02.000+0300, 1005, 12, 286, 0
04_28_2017_07_58, 63, 2017-04-28T10:58:31.000+0300, 1005, 12, 325, 0
04_28_2017_08_09, 63, 2017-04-28T11:09:01.000+0300, 1005, 12, 365, 0
04_28_2017_08_19, 62, 2017-04-28T11:19:30.000+0300, 1005, 13, 416, 0
04_28_2017_08_29, 62, 2017-04-28T11:29:59.000+0300, , 14, , 
04_28_2017_08_40, 52, 2017-04-28T11:40:29.000+0300, 1005, 18, 566, 0
04_28_2017_08_50, 56, 2017-04-28T11:50:59.000+0300, 1005, 15, 641, 0
04_28_2017_09_01, 46, 2017-04-28T12:01:29.000+0300, 1005, 19, 1044, 0
04_28_2017_09_11, 47, 2017-04-28T12:11:30.000+0300, 1005, 19, 1069, 0
04_28_2017_09_22, 50, 2017-04-28T12:22:01.000+0300, 1005, 17, 1169, 0
04_28_2017_09_32, 49, 2017-04-28T12:32:02.000+0300, 1005, 18, 1635, 0
04_28_2017_09_42, 47, 2017-04-28T12:42:33.000+0300, 1005, 19, 1854, 0
04_28_2017_09_52, 46, 2017-04-28T12:52:34.000+0300, 1005, 20, 1959, 0
04_28_2017_10_03, 46, 2017-04-28T13:03:06.000+0300, 1005, 20, 2027, 0
04_28_2017_10_13, 45, 2017-04-28T13:13:38.000+0300, 1005, 20, 2116, 0
04_28_2017_10_24, 45, 2017-04-28T13:24:10.000+0300, 1005, 20, 2228, 0
04_28_2017_10_34, 40, 2017-04-28T13:34:11.000+0300, 1005, 23, 2221, 0
04_28_2017_10_44, 39, 2017-04-28T13:44:44.000+0300, 1005, 23, 2552, 0
04_28_2017_10_55, 39, 2017-04-28T13:55:16.000+0300, 1005, 24, 2708, 0
04_28_2017_11_05, 40, 2017-04-28T14:05:49.000+0300, 1005, 23, 2670, 0
04_28_2017_11_16, 41, 2017-04-28T14:16:22.000+0300, 1005, 24, 2563, 0
04_28_2017_11_26, 38, 2017-04-28T14:26:23.000+0300, 1005, 25, 2695, 0
04_28_2017_11_36, 41, 2017-04-28T14:36:56.000+0300, 1005, 23, 851, 0
04_28_2017_11_47, 41, 2017-04-28T14:47:29.000+0300, 1005, 23, 746, 0
04_28_2017_11_58, 42, 2017-04-28T14:58:02.000+0300, 1005, 23, 623, 0
04_28_2017_12_08, 40, 2017-04-28T15:08:34.000+0300, 1005, 23, 502, 0
04_28_2017_12_19, 41, 2017-04-28T15:19:06.000+0300, 1005, 23, 436, 0
04_28_2017_12_29, 40, 2017-04-28T15:29:39.000+0300, 1005, 23, 389, 0
04_28_2017_12_40, 40, 2017-04-28T15:40:11.000+0300, 1004, 23, 363, 0
04_28_2017_12_50, 41, 2017-04-28T15:50:43.000+0300, 1004, 23, 351, 0
04_28_2017_13_01, 41, 2017-04-28T16:01:16.000+0300, 1004, 23, 358, 0
04_28_2017_13_11, 42, 2017-04-28T16:11:17.000+0300, 1004, 24, 385, 0
04_28_2017_13_21, 40, 2017-04-28T16:21:49.000+0300, 1004, 24, 360, 0
04_28_2017_13_32, 41, 2017-04-28T16:32:22.000+0300, 1004, 24, 325, 0
04_28_2017_13_42, 41, 2017-04-28T16:42:54.000+0300, 1004, 24, 345, 0